L序杀肖一肖规7
说明：金=1，木=2，水=3，火=4，土=5
5+平2合+平3行+平5头+特合
截止164期连对196期
145:5+7+2+3+5=22鸡，146杀鸡。✅开牛42蓝
146:5+3+5+0+6=19鼠，147杀鼠。✅开马13红
147:5+4+5+3+4=21狗，148杀狗。✅开羊48蓝
148:5+6+3+0+12=26蛇，149杀蛇。✅开龙27绿
149:5+3+3+0+9=20猪，150杀猪。✅开09狗蓝
150:5+4+3+4+9=25马，151杀马。✅开鼠31蓝
151:5+6+5+2+4=22鸡，152杀鸡。✅开狗45红
152:#5+11+2+4+9=31鼠；153杀鼠。✅开虎41蓝
153:#5+11+4+0+5=25马； 154杀马。✅开虎41蓝
154:#5+10+1+2+5=23猴；  155杀猴。✅开鼠07红 
155:#5+10+2+4+7=28兔；  156杀兔。✅开马01红
156:#5+7+4+3+1=20猪；     157杀猪。✅开兔40红
157:#5+7+4+1+4=21狗；     158杀狗。✅开兔16绿
158:#5+12+4+1+7=29虎；   159杀虎。✅开龙39绿
159:#5+4+5+2+12=28兔；   160杀兔。✅开蛇02红
160:#5+7+1+2+2=17虎；     161杀虎。✅开猪08红
161:#5+4+1+3+8=21狗；       162杀狗。✅开猪32绿
162:#5+5+2+3+5=20猪；       163杀猪。✅开马37蓝
163:#5+8+4+0+10=27龙；     164杀龙。✅开狗21绿
164:#5+4+2+0+03=14蛇；     165杀蛇。✅开龙03蓝
165:#5+11+2+0+3=21狗；     166杀狗。✅开牛06绿
166:#5+6+3+2+06=22鸡；     167杀鸡。✅开鼠19红
167:#5+3+4+0+10=24羊；     168杀羊。✅开龙15蓝
168:#5+2+2+4+06=19鼠；     169杀鼠。✅开羊24红
169:#5+10+3+4+06=28兔；   170杀兔。✅开龙03蓝
170:#5+10+5+2+03=25马；   171杀马。✅开兔28绿
171:#5+11+4+4+10=34鸡；   172杀鸡。
